BIN,Brand,Type,Category,Issuer,IssuerPhone,IssuerUrl,isoCode2,isoCode3,CountryName,BankDomain,LogoUrl
417487,VISA,CREDIT,CLASSIC,NATIONAL COMMERCIAL BANK,96626464060,,SA,SAU,SAUDI ARABIA,alahli.com,https://commons.wikimedia.org/wiki/File:Saudi_National_Bank_Logo.svg
417490,VISA,CREDIT,PLATINUM,NATIONAL COMMERCIAL BANK,96626464060,,SA,SAU,SAUDI ARABIA,alahli.com,https://commons.wikimedia.org/wiki/File:Saudi_National_Bank_Logo.svg
417579,VISA,DEBIT,SIGNATURE BUSINESS,FIRST IRAQI ISLAMIC BANK FOR INVESTMENT AND FINANCE,,,IQ,IRQ,IRAQ,,
417610,VISA,CREDIT,GOLD,BANKMUSCAT (SAOG),,,OM,OMN,OMAN,bankmuscat.com,https://commons.wikimedia.org/wiki/File:Bank_Muscat_logo.svg
417611,VISA,CREDIT,PLATINUM,STANDARD CHARTERED BANK,+96824773535,https://www.sc.com,OM,OMN,OMAN,sc.com,https://commons.wikimedia.org/wiki/File:Standard_Chartered_(2021).svg
417612,VISA,CREDIT,GOLD,STANDARD CHARTERED BANK,+96824773535,https://www.sc.com,OM,OMN,OMAN,sc.com,https://commons.wikimedia.org/wiki/File:Standard_Chartered_(2021).svg
417622,VISA,CREDIT,PLATINUM,MASHREQBANK,+97143632250,http://www.mashreqbank.com,AE,ARE,UNITED ARAB EMIRATES,mashreqbank.com,https://commons.wikimedia.org/wiki/File:Mashreq_bank_logo.svg
417633,VISA,DEBIT,ELECTRON,AL BILAD BANK,9662918884,http://www.bankalbilad.com,SA,SAU,SAUDI ARABIA,bankalbilad.com,https://commons.wikimedia.org/wiki/File:Bank_Albilad_Logo.svg
417652,VISA,CREDIT,CLASSIC,FIRST ABU DHABI BANK (PJSC),,,OM,OMN,OMAN,bankfab.com,https://commons.wikimedia.org/wiki/File:First_Abu_Dhabi_Bank_Logo.svg
417653,VISA,CREDIT,GOLD,FIRST ABU DHABI BANK (PJSC),,,OM,OMN,OMAN,bankfab.com,https://commons.wikimedia.org/wiki/File:First_Abu_Dhabi_Bank_Logo.svg
417672,VISA,CREDIT,,,,,OM,OMN,OMAN,,
417714,VISA,DEBIT,PREPAID CLASSIC,ABU DHABI COMMERCIAL BANK,+97126962222,http://www.adcb.com,AE,ARE,UNITED ARAB EMIRATES,adcb.com,https://commons.wikimedia.org/wiki/File:Abu_Dhabi_Commercial_Bank_Logo.svg
417734,VISA,CREDIT,CLASSIC,CREDIT LIBANAIS S.A.L.,+9611900111,http://www.creditlibanais.com.lb,LB,LBN,LEBANON,creditlibanais.com,https://commons.wikimedia.org/wiki/File:Credit_Libanais_logo.svg
417735,VISA,CREDIT,GOLD,CREDIT LIBANAIS S.A.L.,+9611900111,http://www.creditlibanais.com.lb,LB,LBN,LEBANON,creditlibanais.com,https://commons.wikimedia.org/wiki/File:Credit_Libanais_logo.svg
417763,VISA,DEBIT,REWARDS,IRAQI ISLAMIC BANK FOR INVESTMENT AND DEVELOPMENT,,,IQ,IRQ,IRAQ,,
417765,VISA,DEBIT,CLASSIC,TRADE BANK OF IRAQ,+96415433561,http://www.tbiraq.com,IQ,IRQ,IRAQ,tbi.com.iq,https://commons.wikimedia.org/wiki/File:Trade_Bank_of_Iraq_logo.svg
417768,VISA,CREDIT,,"NATIONAL BANK OF KUWAIT, S.A.K.",+96522422011,http://www.nbk.com,KW,KWT,KUWAIT,nbk.com,https://commons.wikimedia.org/wiki/File:National_Bank_of_Kuwait_logo.svg
417773,VISA,DEBIT,PREPAID PLATINUM,BOUBYAN BANK K.S.C.,,,KW,KWT,KUWAIT,bankboubyan.com,https://commons.wikimedia.org/wiki/File:Boubyan_Bank_logo.svg
417854,VISA,DEBIT,BUSINESS,DUBAI ISLAMIC BANK,,http://www.alislami.ae,AE,ARE,UNITED ARAB EMIRATES,alislami.ae,https://commons.wikimedia.org/wiki/File:Dubai_Islamic_Bank_logo.svg
417892,VISA,DEBIT,PLATINUM,EMIRATES NBD BANK (P.J.S.C.),,http://www.emiratesnbd.com,BH,BHR,BAHRAIN,emiratesnbd.com,https://commons.wikimedia.org/wiki/File:Emirates_NBD_logo.svg
417893,VISA,DEBIT,PLATINUM,EMIRATES NBD BANK (P.J.S.C.),,http://www.emiratesnbd.com,QA,QAT,QATAR,emiratesnbd.com,https://commons.wikimedia.org/wiki/File:Emirates_NBD_logo.svg
417894,VISA,DEBIT,PLATINUM,"UNITED BANK, LTD.",,http://www.ubl.com.pk,AE,ARE,UNITED ARAB EMIRATES,ubl.com.pk,https://img.logo.dev/ubl.com.pk?format=png&size=400
417973,VISA,CREDIT,CLASSIC,BANQUE MISR,+97126273000,http://www.banquemisr.com,AE,ARE,UNITED ARAB EMIRATES,banquemisr.com,https://commons.wikimedia.org/wiki/File:Banque_Misr_logo.svg
417974,VISA,CREDIT,GOLD,BANQUE MISR,+97126273000,http://www.banquemisr.com,AE,ARE,UNITED ARAB EMIRATES,banquemisr.com,https://commons.wikimedia.org/wiki/File:Banque_Misr_logo.svg
417996,VISA,CREDIT,SIGNATURE,INVEST BANK PLC,58 (212) 92 98 31,http://www.investbank.jo,JO,JOR,JORDAN,investbank.jo,https://img.logo.dev/investbank.jo?format=png&size=400
417997,VISA,CREDIT,PLATINUM,NAJM BANK,,,AE,ARE,UNITED ARAB EMIRATES,,
418056,VISA,DEBIT,CLASSIC,BANK OF BAHRAIN & KUWAIT B.S.C.,,,KW,KWT,KUWAIT,bbkonline.com,https://commons.wikimedia.org/wiki/File:BBK_logo.svg
